Coğrafi İşaretin Adı;Ürün Grubu;İl
Bolu Manda Kaymağı;Peynirler ve tereyağı dışında kalan süt ürünleri;Bolu
Bolu Patatesli Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bolu
Mengen Höşmerimi;Yemekler ve çorbalar;Bolu
Gerede Keşi;Peynirler ve tereyağı dışında kalan süt ürünleri;Bolu
Mudurnu Basma Helva;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bolu
Bolu Kızılcık Tarhanası;Yemekler ve çorbalar;Bolu
Bolu Sarı Patatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bolu
Bolu Çivril Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bolu
Mengen Kaldırık Dolması;Yemekler ve çorbalar;Bolu
Mengen Kedibatmaz;Yemekler ve çorbalar;Bolu
Bolu Kanlıca Mantarı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bolu
Bolu Kara Kabağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bolu
Bolu Göynük Uğut Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bolu
Gerede Şakşak Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bolu
Bucak Salebi;Diğer ürünler;Burdur
Gölhisar Kavurması;Yemekler ve çorbalar;Burdur
Tefenni Rezenesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Burdur
Karamanlı Kişnişi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Burdur
Karamanlı Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Burdur
Burdur Şiş Köftesi;Yemekler ve çorbalar;Burdur
Burdur Kabak Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Burdur
Melli İnciri;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Burdur
Burdur Haşhaş Helvası;Çikolata, şekerleme ve türevi ürünler;Burdur
Burdur Ceviz Ezmesi;Çikolata, şekerleme ve türevi ürünler;Burdur
Karamanlı Rezenesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Burdur
Karacabey Soğanı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
İnegöl Köfte;Yemekler ve çorbalar;Bursa
Bursa Döner Kebabı;Yemekler ve çorbalar;Bursa
İnegöl Büryanı / İnegöl Mişörizi;Yemekler ve çorbalar;Bursa
İnegöl Piyazı;Yemekler ve çorbalar;Bursa
Bursa Cevizli Lokum;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa
Bursa Kestanesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Kemalpaşa Tatlısı / Mustafakemalpaşa Peynir Tatlısı / Mustafakemalpaşa Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa
İnegöl Cerrah Kuru Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Orhangazi Gedelek Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Gemlik Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Gürsu Deveci Armudu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Bursa Süt Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa
Bursa Tahinli Pide;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa
Bursa Siyah İnciri / Bursa Siyahı / Siyah Bursa İnciri;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
İznik Müşküle Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Bursa Şeftalisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
İnegöl Sütlü Kadayıfı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa
İnegöl Çıbrıkası;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Bursa
Hasanağa Enginarı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Zeyniler Hınkalı;Yemekler ve çorbalar;Bursa
Bursa Kestane Şekeri;Çikolata, şekerleme ve türevi ürünler;Bursa
Bursa Cantık;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa
Bursa Pideli Köfte;Yemekler ve çorbalar;Bursa
Bursa Üzüm Şırası;Alkolsüz içecekler;Bursa
Keles Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Yenişehir Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Bursa Santa Maria Armudu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa
Babadağ Kekik Balı;Bal;Denizli
Acıpayam Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli
Buldan Kestanesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli
Denizli Leblebisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli
Denizli Tandır Kebabı;Yemekler ve çorbalar;Denizli
İsabey Çekirdeksiz Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli
Tavas Yanık Koyun Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Denizli
Çameli Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli
Kale Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli
Tavas Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Denizli
Honaz Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli
Denizli Kekiği;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Denizli
Denizli Çalkarası Üzümü/Denizli Çalkarası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli
Diyarbakır Ekşili Balık (Sumaklı Çay Balığı);Yemekler ve çorbalar;Diyarbakır
Diyarbakır Ayvalı Kavurma;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Ayva Dizmesi;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Ekşili Dolması;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Ayvalı Köfte;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Erikli Yaz Türlüsü;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Perdeli Ciğer Kebabı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Mastava Aşı Yemeği;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Meyir Çorbası;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kürt Mustafa Çorbası;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Babaganuç;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Nardan Aşı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Armut Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır
Diyarbakır Boğazkere Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Diyarbakır
Diyarbakır Duvaklı Pilavı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Bakla Meftunesi;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Dalak Dolması;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Cimili Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır
Diyarbakır Burma Kadayıfı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır
Diyarbakır Ciğer Kebabı;Yemekler ve çorbalar;Diyarbakır
Karacadağ Pirinci;Diğer ürünler;Diyarbakır
Diyarbakır İncaz Hoşafı;Diğer ürünler;Diyarbakır
Diyarbakır Badem Ezmesi / Diyarbakır Lebzüniyesi;Çikolata, şekerleme ve türevi ürünler;Diyarbakır
Diyarbakır Patlıcan Meftunesi;Yemekler ve çorbalar;Diyarbakır
Çermik Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Diyarbakır
Diyarbakır Paşa Lavaşı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır
Diyarbakır Kulak Çorbası;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kibe Mumbar;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kengerli Bulgur Pilavı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kenger Meftunesi;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kenger Boranisi;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kemikli Kebabı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kağırdaklı Ekmek / Diyarbakır Kizirikli Ekmek;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır
Diyarbakır Karpuzu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Diyarbakır
Diyarbakır Patlıcanlı Kazan Kebabı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kaburga Dolması;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kabak Meftunesi;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Hırçikli Meftunesi;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Hıllorik Aşı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Hedik Yemeği;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Habenisk Çorbası;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Tirit Yemeği;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Gebol Yemeği;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Gendüme Aşı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır İçli Köftesi;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Üsküre Kebabı / Diyarbakır Tas Kebabı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Örgü Peyniri;Peynirler;Diyarbakır
Diyarbakır Çakıl Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır
Diyarbakır Et Eşkenesi Yemeği;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Simindirik Çorbası;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Pencegoşt Pilavı;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Şehriyesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır
Diyarbakır Lebenisi;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Kuru Dolması;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Lepik Köftesi;Yemekler ve çorbalar;Diyarbakır
Diyarbakır Şırdanlı Bastırma;İşlenmiş ve işlenmemiş et ürünleri;Diyarbakır
Diyarbakır Tavuk Eşkenesi;Yemekler ve çorbalar;Diyarbakır
Düzce Kestane Kabağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce
Akçakoca Melengücceği Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Düzce
Düzce Şırası;Alkolsüz içecekler;Düzce
Düzce Şeker Kamışı Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce
Düzce Köftesi;Yemekler ve çorbalar;Düzce
Konuralp Pirinci;Diğer ürünler;Düzce
Akçakoca Ekşilisi;Yemekler ve çorbalar;Düzce
Akçakoca Kaplandede Kestanesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce
Akçakoca Sarı Fındığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce
Yufkalı Konuralp Pilavı;Yemekler ve çorbalar;Düzce
Düzce Acıkası;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Düzce
Düzce Fındıklı Tahin Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Düzce
Düzce Kestane Balı;Bal;Düzce
Akçakoca Mancarlı Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Düzce
Düzce Kestanesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce
Deva-i Misk Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Edirne
Edirne Tava Ciğeri;Yemekler ve çorbalar;Edirne
Keşan Siğilli Bamyası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Edirne
Edirne Badem Ezmesi;Çikolata, şekerleme ve türevi ürünler;Edirne
Keşan Satır Et;Yemekler ve çorbalar;Edirne
Edirne Ciğer Sarma;Yemekler ve çorbalar;Edirne
İpsala Pirinci;Diğer ürünler;Edirne
Keşan Mahmutköy Kuru Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Edirne
Edirne Beyaz Peyniri;Peynirler;Edirne
Meriç Yer Fıstığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Edirne
Keşan Korudağ Çiçek Balı;Bal;Edirne
Uzunköprü Köftesi;Yemekler ve çorbalar;Edirne
Meriç Kara Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Edirne
Elazığ Çedene Kahvesi;Diğer ürünler;Elazığ
Elazığ Menceki Buğdayı;Diğer ürünler;Elazığ
Elazığ Vişnesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ
Elazığ Orciği;Çikolata, şekerleme ve türevi ürünler;Elazığ
Ağın Leblebisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ
Elazığ Öküzgözü Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ
Elazığ Taş Ekmeği Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Elazığ
Elazığ Tahannebi Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ
Elazığ Geven Balı;Bal;Elazığ
Elazığ Boğazkere Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ
Elazığ Sırın Yemeği;Yemekler ve çorbalar;Elazığ
Keban Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ
Erzincan Tulum Peyniri;Peynirler;Erzincan
Refahiye Balı;Bal;Erzincan
Kemaliye Dutu / Eğin Dutu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzincan
Kemah Doğal Kaynak Tuzu;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Erzincan
Kemaliye Lök Tatlısı / Eğin Lök Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzincan
Erzincan Üzümlü Sarucu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzincan
Cimin Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzincan
Erzincan Kesme Kadayıfı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzincan
Kemaliye Kuru Kaymağı/Eğin Kuru Kaymağı;Peynirler ve tereyağı dışında kalan süt ürünleri;Erzincan
Erzurum Su Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Peynir Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Pastırması;İşlenmiş ve işlenmemiş et ürünleri;Erzurum
Erzurum Demir Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Mantısı /Erzurum Hıngeli;Yemekler ve çorbalar;Erzurum
Erzurum Civil Peyniri;Peynirler;Erzurum
Erzurum Cılbıra / Erzurum Çılbır;Yemekler ve çorbalar;Erzurum
İspir Kaymağı;Peynirler ve tereyağı dışında kalan süt ürünleri;Erzurum
Narman Şeker Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzurum
Pasinler Yaprak Döner;Yemekler ve çorbalar;Erzurum
Erzurum Pekmezli Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Ayva Yahnisi / Erzurum Ayva Kalyesi;Yemekler ve çorbalar;Erzurum
Erzurum Babaanne Pastası / Erzurum Pastası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Aşotu;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Erzurum
Erzurum Aşmalı Yahni;Yemekler ve çorbalar;Erzurum
Erzurum Ayran Aşı Çorbası;Yemekler ve çorbalar;Erzurum
Erzurum Sucuğu;İşlenmiş ve işlenmemiş et ürünleri;Erzurum
Erzurum Kıtlama Şekeri;Diğer ürünler;Erzurum
İspir Kuru Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzurum
Erzurum Tatar Böreği;Yemekler ve çorbalar;Erzurum
Erzurum Pekmezli Kadayıfı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Tel Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Ekşili Dolma;Yemekler ve çorbalar;Erzurum
Erzurum Eriştesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Kuru Kayısı Kaysefesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Ketesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Kesme Aşı Çorbası;Yemekler ve çorbalar;Erzurum
Erzurum Kaz Lokması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Kadayıf Dolması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Kavut Haşılı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Kara Fatma Çorbası;Yemekler ve çorbalar;Erzurum
Erzurum Küflü Civil Peyniri (Göğermiş Peynir);Peynirler;Erzurum
Erzurum Hasıta / Erzurum Hasuta;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Gliko;Yemekler ve çorbalar;Erzurum
Erzurum Et Kavurması;İşlenmiş ve işlenmemiş et ürünleri;Erzurum
Erzurum Hurma Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Tuzlu Lokumu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Herle Aşı Çorbası;Yemekler ve çorbalar;Erzurum
Erzurum Lavaş Ekmeği / Erzurum Ecem Ekmeği / Erzurum Acem Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Patates Boranisi;Yemekler ve çorbalar;Erzurum
Erzurum Un Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Yumurta Pilavı;Yemekler ve çorbalar;Erzurum
Erzurum Çaşır Kavurması;Yemekler ve çorbalar;Erzurum
Erzurum Çaşır Salamurası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzurum
Erzurum Çeç Pancarı;Yemekler ve çorbalar;Erzurum
Erzurum Çiriş Yemeği;Yemekler ve çorbalar;Erzurum
Oltu Cağ Kebabı;Yemekler ve çorbalar;Erzurum
Erzurum Çortutu Pancarı;Yemekler ve çorbalar;Erzurum
Erzurum Şalgam Dolması;Yemekler ve çorbalar;Erzurum
Karnavas Dut Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzurum
Hınıs Köftesi;Yemekler ve çorbalar;Erzurum
Hınıs Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzurum
Tortum Ekşi Pestili;Çikolata, şekerleme ve türevi ürünler;Erzurum
Hasankale Lavaşı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Dut Çullaması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum
Erzurum Hink Yemeği;Yemekler ve çorbalar;Erzurum
Sivrihisar Höşmerim Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Eskişehir
Sivrihisar Kelem Dolması;Yemekler ve çorbalar;Eskişehir
Kızılinler Bal Kabağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Eskişehir
Sivrihisar Muska Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Eskişehir
Sivrihisar Dövme Sucuğu;İşlenmiş ve işlenmemiş et ürünleri;Eskişehir
Sivrihisar Arabaşı;Yemekler ve çorbalar;Eskişehir
Eskişehir Met Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Eskişehir
Eskişehir Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Eskişehir
Eskişehir Çiğböreği (Çibörek);Yemekler ve çorbalar;Eskişehir
Antep Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Kuymağı/Antep Kuymağı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Kabaklama/Antep Kabaklama;Yemekler ve çorbalar;Gaziantep
Araban Sarımsağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Gaziantep / Antep Altı Ezmeli Kebap, Gaziantep / Antep Altı Ezmeli Kuşbaşı Kebabı, Gaziantep / Antep Altı Ezmeli Kıyma Kebabı;Yemekler ve çorbalar;Gaziantep
Antep Beyranı;Yemekler ve çorbalar;Gaziantep
Gaziantep Haveydi Köfte / Antep Haveydi Köfte;Yemekler ve çorbalar;Gaziantep
Gaziantep Malhıtalı Köftesi/Gaziantep Mercimekli Köftesi;Yemekler ve çorbalar;Gaziantep
Antep Muskası (Gaziantep Muskası);Çikolata, şekerleme ve türevi ürünler;Gaziantep
Antep Zahter Balı / Gaziantep Zahter Balı;Bal;Gaziantep
Antep Yuvarlaması / Antep Yuvalaması;Yemekler ve çorbalar;Gaziantep
Antep Tırnaklı Pidesi / Gaziantep Tırnaklı Pidesi / Antep Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Antep Sumağı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Gaziantep
Antep Allı Yeşilli Dolma /Antep Nakışlı Dolma /Antep Yaz Dolması;Yemekler ve çorbalar;Gaziantep
Antep Biber Salçası / Gaziantep Biber Salçası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Gaziantep Haylan Kabağı Reçeli;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Antep Peynirli İrmik Helvası / Gaziantep Peynirli İrmik Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Antep Şiveydizi;Yemekler ve çorbalar;Gaziantep
Gaziantep Haylan Kabağı Dolması / Antep Haylan Kabağı Dolması;Yemekler ve çorbalar;Gaziantep
Antep Peyniri / Gaziantep Peyniri / Antep Sıkma Peyniri;Peynirler;Gaziantep
Gaziantep Lebeniye Çorbası/Antep Lebeniye Çorbası;Yemekler ve çorbalar;Gaziantep
Antep Firiği;Diğer ürünler;Gaziantep
Antep Menengiç Kahvesi / Gaziantep Menengiç Kahvesi / Antep Melengiç Kahvesi / Gaziantep Melengiç Kahvesi;Diğer ürünler;Gaziantep
Antep Zahter Çayı / Gaziantep Zahter Çayı;Diğer ürünler;Gaziantep
Antep Bulguru / Gaziantep Bulguru;Diğer ürünler;Gaziantep
Gaziantep / Antep Ekşili / Akıtmalı Ufak Köfte;Yemekler ve çorbalar;Gaziantep
Gaziantep Damat Dolması / Gaziantep Kuzu İçli Kabak Dolma;Yemekler ve çorbalar;Gaziantep
Gaziantep / Antep Yarım Tava;Yemekler ve çorbalar;Gaziantep
Gaziantep Acur-Biber Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Gaziantep Alenaziği /Antep Alenaziği;Yemekler ve çorbalar;Gaziantep
Gaziantep Arap Köftesi / Antep Arap Köftesi;Yemekler ve çorbalar;Gaziantep
Gaziantep Buhara Pilavı / Antep Buhara Pilavı;Yemekler ve çorbalar;Gaziantep
Gaziantep Börek Çorbası / Antep Börek Çorbası;Yemekler ve çorbalar;Gaziantep
Gaziantep Börk Aşı / Gaziantep Mıcırık Aşı;Yemekler ve çorbalar;Gaziantep
Gaziantep Bülbül Yuvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Cağırtlak Kebabı/ Antep Cağırtlak Kebabı / Gaziantep Cartlak Kebabı / Antep Cartlak Kebabı;Yemekler ve çorbalar;Gaziantep
Gaziantep Doğrama/Antep Doğrama;Yemekler ve çorbalar;Gaziantep
Gaziantep Dolangel Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Koruk Ekşisi;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Gaziantep
Gaziantep Fasulyeli Kabak Dolması;Yemekler ve çorbalar;Gaziantep
Gaziantep Küşleme Kebabı/Antep Küşleme Kebabı;Yemekler ve çorbalar;Gaziantep
Gaziantep Susamlı Kıtır Helva;Diğer ürünler;Gaziantep
Antep Urmu Dut Şurubu / Gaziantep Urmu Dut Şurubu;Alkolsüz içecekler;Gaziantep
Antep Fıstık Ezmesi (Antepfıstığı Ezmesi / Gaziantep Fıstık Ezmesi);Çikolata, şekerleme ve türevi ürünler;Gaziantep
Gaziantep/Antep Ayvalı Ekşili Taraklık;Yemekler ve çorbalar;Gaziantep
Gaziantep/Antep Firikli Acur Dolması;Yemekler ve çorbalar;Gaziantep
Gaziantep Nohut Dürümü/Antep Nohut Dürümü;Yemekler ve çorbalar;Gaziantep
Gaziantep Tene Katması / Antep Tene Katması;Yemekler ve çorbalar;Gaziantep
Gaziantep Simit Aşı/Antep Simit Aşı;Yemekler ve çorbalar;Gaziantep
Gaziantep Simit Kebabı/Antep Simit Kebabı;Yemekler ve çorbalar;Gaziantep
Gaziantep Şöbiyeti / Antep Şöbiyeti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Sini Köftesi;Yemekler ve çorbalar;Gaziantep
Antep Dolmalık Biber Kurusu / Gaziantep Dolmalık Biber Kurusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Gaziantep Sebzeli Peynirli Böreği /Antep Sebzeli Peynirli Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Sütlü Zerdesi/Gaziantep Astarlı Sütlacı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Sarımsak Kebabı;Yemekler ve çorbalar;Gaziantep
Antep Lahmacunu / Gaziantep Lahmacunu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Süzek Yapması / Antep Süzek Yapması;Yemekler ve çorbalar;Gaziantep
Gaziantep Pirpirim Aşı/Antep Pirpirim Aşı;Yemekler ve çorbalar;Gaziantep
Gaziantep Yağlı Köfte / Antep Yağlı Köfte;Yemekler ve çorbalar;Gaziantep
