Coğrafi İşaretin Adı;Ürün Grubu;İl
Bolvadin Fırın Eti;Yemekler ve çorbalar;Afyonkarahisar
Dinar Taptama Köfte / Dinar Taplama Köfte;Yemekler ve çorbalar;Afyonkarahisar
Çay İlçesi Vişnesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Afyonkarahisar
Şuhut Keşkeği;Yemekler ve çorbalar;Afyonkarahisar
Karacalar Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Afyonkarahisar
Şuhut Patatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Afyonkarahisar
Emirdağ Koyun Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Afyonkarahisar
İscehisar Mermer Kebabı;Yemekler ve çorbalar;Afyonkarahisar
Emirdağ Güveci;Yemekler ve çorbalar;Afyonkarahisar
Sultandağı Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Afyonkarahisar
Aksaray Un Kurabiyesi / Aksaray Asker Kurabiyesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray
Aksaray Çerezlik Ayçekirdeği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aksaray
Aksaray İnceelek Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray
Aksaray Şerbetli Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray
Aksaray Şeker Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray
Aksaray Tahinlisi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray
Aksaray Köpük Helva;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray
Aksaray Kabak Çekirdeği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aksaray
Eşmekaya Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Aksaray
Gelveri Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray
Aksaray Tulum Kebabı;Yemekler ve çorbalar;Aksaray
Amasya Unutma Beni Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya
Amasya Cevizli Ballı Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya
Merzifon Keşkeği;Yemekler ve çorbalar;Amasya
Amasya Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya
Amasya Çiçek Bamyası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Amasya
Amasya Çatal Çorbası;Yemekler ve çorbalar;Amasya
Amasya Yağlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya
Amasya Yanuç;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya
Amasya Toyga Çorbası;Yemekler ve çorbalar;Amasya
