Coğrafi İşaretin Adı,Ürün Grubu,İl,Kalori
Malatya Pidesi/ Malatya Açık Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,307
Malatya Tandır Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,273
Malatya Yassı Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,334
Malatya Yağlı Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,268
Malatya Yufka Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,295
Mamak Kutludüğün Ekşi Maya Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,320
Manisa Mesir Macunu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Manisa,334
Manisa Taban Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Manisa,352
Maraş Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kahramanmaraş,386
Mardin Harire,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Mardin,281
Mardin Kiliçesi / Mardin Kiliçe Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Mardin,374
Mersin Kerebici,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Mersin,370
Mesudiye Kuru Ekmeği / Mesudiye Goliti,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ordu,316
Midyat Tandır Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Mardin,249
Milas Tepsi Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Muğla,136
Milas Çaykaması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Muğla,385
Mudurnu Bal Kabaklı Gözlemesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bolu,341
Mudurnu Basma Helva,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bolu,239
Mudurnu Kaşık Sapı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bolu,280
Muğla Saraylısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Muğla,350
Muğla Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Muğla,371
Nazilli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,317
Nevşehir Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Nevşehir,331
Nevşehir Tahinli Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Nevşehir,363
Niğde Sarım Burma Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Niğde,297
Niğde Tahinlisi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Niğde,170
Ordu Fındıklı Burma Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ordu,259
Ordu Perşembe Ceviz Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ordu,290
Ordu Pidesi / Ordu Yağlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ordu,250
Osmancık Malak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çorum,365
Osmaniye Bayram Kömbesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Osmaniye,242
Osmaniye Yoğurtlu Kömbesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Osmaniye,282
Paşa Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kütahya,305
Polat Kınalı Ekmek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,357
Rize Baston Ekmek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Rize,242
Rize Enişte Lokumu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Rize,346
Rize Pepeçurası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Rize,300
Rize Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Rize,360
Safranbolu Kıtırı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Karabük,318
Sakarya Üre Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Sakarya,308
Samsun Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Samsun,356
Sandıklı Haşhaşlı Tahinli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,302
Savaştepe Sarıbeyler Seferberlik Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Balıkesir,384
Senirkent Samsa Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Isparta,304
Siirt Gebole Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Siirt,326
Siirt Kuru Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Siirt,363
Sinop Nokulu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Sinop,250
Sivas Katmeri,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Sivas,385
Sivrihisar Höşmerim Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Eskişehir,272
Sivrihisar Muska Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Eskişehir,394
Soma Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Manisa,323
Sorgun Yağlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Yozgat,311
Söke Kulak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,275
Söke Peksimeti,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,291
Söke Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,280
Söke Tahinli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,276
Söke Tatlı Maya Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,334
Sürmene Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Trabzon,314
Taraklı Uğut Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Sakarya,272
Tarsus Fındık Lahmacunu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Mersin,336
Tavas Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Denizli,412
Tekirdağ Bulama,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Tekirdağ,332
Tekirdağ Peynir Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Tekirdağ,325
Terme Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Samsun,267
Tokat Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Tokat,277
Tokat Yağlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Tokat,330
Tokat Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Tokat,324
Turhal Yoğurtmacı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Tokat,299
Ulaş Etli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Sivas,304
Uluborlu Kuyruğu Sulu Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Isparta,251
Urfa (Şanlıurfa) Külünçesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,276
Urfa (Şanlıurfa) Lahmacunu (Kıymalı Ekmeği),"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,322
Urfa Ağzı Açık / Şanlıurfa Ağzı Açık,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,292
Urfa Pendirli Kedeyif / Şanlıurfa Peynirli Kadayıf,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,291
Urfa Zerdesi (Şanlıurfa Zerdesi),"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,344
Urfa Şıllık Tatlısı (Şanlıurfa Şıllık Tatlısı),"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,333
Uşak Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Uşak,422
Uşak Gelin Helvası / Uşak Gelin Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Uşak,352
Uşak Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Uşak,301
Uşak Ulubey Zini Hamursuzu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Uşak,327
Vakfıkebir Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Trabzon,287
Van Pastası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Van,313
Yalvaç Hamursuzu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Isparta,294
Yapraklı Panayır Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,304
Yağlılar Basma Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Balıkesir,323
Yenipazar Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,267
Yozgat Parmak Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Yozgat,383
Zara Sac Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Sivas,259
Çamlıdere Höşmerim Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,251
Çankırı Ehlibilir,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,346
Çankırı Hameyli Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,331
Çankırı Höşmerim Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,305
Çankırı Kesme Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,325
Çankırı Kıymalısı / Çankırı Kapalı Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,299
Çankırı Pıhtı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,264
Çankırı Yazma Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,303
Çankırı Yoka (İnce) Ekmek Muskası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,273
Çankırı Yumurta Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,339
Çarşamba Kıvratması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Samsun,294
Çarşamba Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Samsun,267
Çavuşlu Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Giresun,287
Çerkeş Badıma Bükmesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,316
Çerkeş Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,277
Çerkeş Lokumu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,267
Çerkeş Su Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,209
Çerkeş Sırma Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,409
Ödemiş Nohut Mayalı Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",İzmir,279
İnegöl Sütlü Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bursa,281
İskilip Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çorum,407
İstanbul Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",İstanbul,342
İzmir Boyozu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",İzmir,243
İzmir Gevreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",İzmir,271
İzmir Lokması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",İzmir,291
İzmir Şambalisi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",İzmir,312
İzmit Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kocaeli,359
Şabanözü Bazlaması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,334
Şabanözü Cızlaması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,293
Şabanözü Dondurma Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,299
Şanlıurfa Açık Ekmeği (Urfa Açık Ekmeği),"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,260
Şanlıurfa Ağzı Yumıh / Şanlıurfa Ağzı Yumuk,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,299
Şanlıurfa Pendirli Helvası / Şanlıurfa Peynirli Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,288
Şanlıurfa Tırnaklı Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şanlıurfa,313
Şavşat Ketesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Artvin,267
Şereflikoçhisar Tahinli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,320
Şımşıpe,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Şırnak,361
Acıpayam Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Denizli,55
Adana Karpuzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adana,49
Adana Yer Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adana,576
Adapazarı Beyaz Kestane Kabağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sakarya,65
Adıyaman Besni Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adıyaman,48
Adıyaman Tut Dutu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adıyaman,48
Afşin Koçovası Sarımsağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kahramanmaraş,66
Akhisar Domat Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,58
Akhisar Uslu Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,45
Akkuş Şeker Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ordu,55
Akkışla Gilaburusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kayseri,45
Aksaray Kabak Çekirdeği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aksaray,545
Aksaray Çerezlik Ayçekirdeği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aksaray,552
Akyurt Teberik Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ankara,31
Akçabelen (Çetmi) Şeker Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,33
Akçadağ Armudu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Malatya,44
Akçakoca Kaplandede Kestanesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Düzce,340
Akçakoca Sarı Fındığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Düzce,53
Akşehir Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,41
Alaca Mor Soğanı / Alaca Moru,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çorum,36
Alanya Avokadosu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,65
Alanya Keçiboynuzu / Alanya Harnub,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,48
Alanya Muzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,51
Alanya Yenidünyası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,36
Alaşehir Asma Yaprağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,45
Amasya Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Amasya,51
Amasya Misket Elması,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Amasya,38
Amasya Çiçek Bamyası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Amasya,54
Anamur Muzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,44
Andırın Andız Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kahramanmaraş,47
Antalya Bergamot Kabuğu Reçeli,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,244
Antalya Tavşan Yüreği Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,69
Antalya Turunç Kabuğu Reçeli,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,350
Antep Biber Salçası / Gaziantep Biber Salçası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,39
Antep Dolmalık Biber Kurusu / Gaziantep Dolmalık Biber Kurusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,58
Antep Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,600
Antep Haylan Kabağı Kurusu / Gaziantep Haylan Kabağı Kurusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,52
Antep Karası Kuru Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,30
Antep Kuruluk Patlıcanı (Gaziantep Kuru Patlıcanı),İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,37
Antep Pekmezi / Gaziantep Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,52
Araban Sarımsağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,57
Arapgir Köhnü Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Malatya,52
Arsin Foşa Fındığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Trabzon,49
Arslanlar Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,47
Avşa Ada Karası Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,35
Ayaş Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ankara,43
Ayaş Dutu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ankara,45
Aydın Enginarı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aydın,61
Aydın Kestanesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aydın,353
Aydın Memecik Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aydın,32
Aydın Yamalak Sarısı Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aydın,53
Aydın Çam Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aydın,546
Aydın İnciri,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aydın,43
Aydıntepe Şeker Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bayburt,56
Ağın Leblebisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Elazığ,360
Babaeski Sarımsağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kırklareli,59
Bahçesaray Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Van,612
Balıkesir Tombul Bamyası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,47
Bayramiç Beyazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çanakkale,53
Bayramiç Elması,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çanakkale,60
Belen Kömürçukuru Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,45
Bergama Kozak Çam Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,528
Birecik Patlıcanı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Şanlıurfa,39
Bodrum Mandarini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,38
Bolu Dağ Fındığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bolu,58
Bolu Kanlıca Mantarı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bolu,64
Bolu Kara Kabağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bolu,49
Bolu Sarı Patatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bolu,60
Bolu Çivril Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bolu,54
Bornova Kınalı Bamyası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,44
Bornova Misket Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,54
Borçka Demir Elması,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Artvin,65
Boyabat Gazidere Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sinop,50
Bozcaada Çavuş Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çanakkale,66
Buldan Kestanesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Denizli,324
Bursa Kestanesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,358
Bursa Santa Maria Armudu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,51
Bursa Siyah İnciri / Bursa Siyahı / Siyah Bursa İnciri,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,47
Bursa Şeftalisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,51
Bünyan Gilaburusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kayseri,30
Büyükbelen Tekir Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,48
Cemele Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kırşehir,54
Cimin Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Erzincan,65
Darboğaz Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Niğde,45
Datça Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,42
Datça Nurlu Bademi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,605
Demirci Figani Efendi Eriği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,59
Demirci Hünnabı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,53
Demirci Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,45
Denizli Leblebisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Denizli,355
Denizli Çalkarası Üzümü/Denizli Çalkarası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Denizli,51
Derbent Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,60
Derebucak Gembos Şeker Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,43
Derinkuyu Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Nevşehir,47
Devrek Kireni,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Zonguldak,46
Değirmendere Fındığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kocaeli,35
Diyarbakır Boğazkere Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Diyarbakır,53
Diyarbakır Karpuzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Diyarbakır,53
Dörtyol Mandarini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,50
Düzce Kestane Kabağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Düzce,48
Düzce Kestanesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Düzce,336
Düzce Şeker Kamışı Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Düzce,46
Edincik Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,47
Edremit Körfezi Yeşil Çizik Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,42
Ege Sultani Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,48
Ege İnciri,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,54
Elazığ Boğazkere Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Elazığ,69
Elazığ Tahannebi Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Elazığ,52
Elazığ Vişnesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Elazığ,53
Elazığ Öküzgözü Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Elazığ,49
Eldivan Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çankırı,31
Emcelli Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,50
Erbaa Narince Bağ Yaprağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tokat,51
Erciş Lahanası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Van,75
Erciş Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Van,48
Erdemli Lamas Limonu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,53
Erdemli Muzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,50
Ereğli Beyaz Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,38
Ereğli Siyah Havucu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,61
