province,m_param,temp_annual_mean,prec_annual_total,temp_m01,temp_m02,temp_m03,temp_m04,temp_m05,temp_m06,temp_m07,temp_m08,temp_m09,temp_m10,temp_m11,temp_m12,prec_m01,prec_m02,prec_m03,prec_m04,prec_m05,prec_m06,prec_m07,prec_m08,prec_m09,prec_m10,prec_m11,prec_m12
Samsun,SAMSUN,14.983333333333334,729.7,7.5,7.3,8.7,11.3,15.9,20.8,23.9,24.5,20.9,17.0,12.6,9.4,72.5,53.5,68.5,54.0,54.1,51.6,38.9,47.2,51.8,79.0,76.1,82.5
Siirt,SIIRT,16.666666666666668,700.7,3.3,4.7,9.2,14.3,19.8,26.5,30.9,30.9,25.8,18.9,10.6,5.1,81.0,98.6,115.2,102.2,63.9,9.7,3.8,2.2,7.9,49.1,76.8,90.3
Sinop,SINOP,14.700000000000001,727.8000000000001,7.1,6.8,8.1,11.0,15.5,20.5,23.6,24.3,20.8,16.9,12.6,9.2,73.4,54.4,60.1,37.3,34.5,39.1,35.5,37.2,74.6,94.4,82.9,104.4
Sivas,SIVAS,9.6,455.4,-2.7,-1.6,3.8,9.3,13.7,17.7,20.8,21.1,17.0,11.6,4.7,-0.2,44.6,41.0,48.4,59.0,64.6,35.1,11.1,7.1,19.2,37.5,42.1,45.7
Tekirdağ,TEKIRDAG,14.541666666666666,601.1,5.2,5.8,8.1,12.0,17.1,21.8,24.4,24.8,20.7,16.1,11.4,7.1,58.2,62.7,53.7,40.8,37.8,37.9,28.5,16.4,45.7,81.6,61.2,76.6
Tokat,TOKAT,12.875,442.9,2.1,3.6,7.8,12.6,16.6,20.1,22.9,23.3,19.6,14.6,7.6,3.7,41.1,33.8,45.8,52.5,61.7,40.4,12.7,10.1,18.2,41.4,43.1,42.1
Trabzon,TRABZON,15.225,902.1,7.7,7.6,9.2,12.2,16.4,20.9,23.8,24.4,21.1,17.2,12.7,9.5,88.8,63.1,69.3,62.8,55.5,52.3,34.7,59.4,85.4,134.1,103.2,93.5
Tunceli,TUNCELI,13.166666666666666,826.6,-1.0,0.6,6.4,12.1,17.0,22.8,27.3,27.4,21.9,15.2,7.0,1.3,121.0,103.7,110.1,100.1,73.8,16.6,5.0,5.0,23.5,60.4,86.5,120.9
Uşak,USAK,12.908333333333333,564.5,2.6,3.7,6.7,11.0,15.9,20.4,24.0,24.2,19.5,14.2,8.4,4.3,64.3,65.2,55.9,65.6,48.7,27.5,17.7,12.4,20.7,50.2,59.0,77.3
Van,VAN,10.141666666666667,410.2,-2.1,-1.2,2.9,8.4,13.4,18.8,22.7,22.9,18.4,12.1,5.2,0.2,32.9,35.4,49.0,57.2,45.8,16.6,7.9,5.6,19.9,45.9,48.8,45.2
Yalova,YALOVA,15.133333333333333,748.9,6.8,7.2,9.0,12.6,17.4,21.9,24.3,24.5,20.8,16.5,12.0,8.6,84.6,68.7,73.9,51.3,39.0,47.4,22.0,34.5,52.9,93.7,75.9,105.0
Yozgat,YOZGAT,9.700000000000001,595.7,-1.3,-0.1,3.7,8.8,13.4,17.2,20.3,20.6,16.6,11.5,5.0,0.7,66.4,58.1,70.7,58.4,68.8,47.1,12.8,16.9,22.0,40.4,57.4,76.7
Zonguldak,ZONGULDAK,14.016666666666666,1238.6000000000001,6.3,6.4,8.1,11.5,15.7,19.9,22.4,22.7,19.5,15.7,11.7,8.3,127.7,93.9,96.4,57.1,59.5,83.0,69.7,81.6,125.9,147.5,134.5,161.8
Çanakkale,CANAKKALE,15.591666666666667,620.3,6.5,7.0,9.1,12.8,18.0,22.9,25.8,26.0,21.6,16.8,12.3,8.3,78.6,76.3,66.0,49.0,32.1,27.3,12.9,6.8,24.2,67.5,79.2,100.4
Çankırı,CANKIRI,11.575000000000001,427.9,-0.4,1.5,6.0,11.0,15.9,20.1,23.4,23.3,18.5,12.7,5.5,1.4,41.6,31.7,38.1,45.2,57.8,45.5,20.4,22.9,20.0,32.5,26.3,45.9
Çorum,CORUM,11.0,448.8,-0.2,1.4,5.6,10.4,15.0,18.7,21.7,21.9,17.8,12.5,5.6,1.6,37.4,28.5,42.0,46.6,61.7,63.5,21.4,19.0,24.9,27.9,32.9,43.0
İzmir,IZMIR,18.358333333333334,730.5,9.0,9.9,12.4,16.2,21.1,26.0,28.6,28.5,24.2,19.5,14.4,10.5,127.5,107.2,77.8,50.1,32.9,14.4,3.0,6.7,23.5,56.5,99.6,131.3
Şanlıurfa,SANLIURFA,19.008333333333333,450.5,6.2,7.5,11.8,16.8,22.8,28.8,32.6,32.0,27.4,21.2,13.1,7.9,81.0,66.3,57.9,44.7,26.2,5.8,2.0,4.0,8.1,24.6,51.2,78.7
Şırnak,SIRNAK,15.608333333333334,768.2,2.6,3.8,8.1,12.5,18.7,25.3,29.5,29.3,24.7,17.8,9.9,5.1,107.3,103.8,125.8,115.1,52.6,5.3,6.1,0.7,13.2,54.6,82.5,101.2
