Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Burhaniye Zeytinyağı;C2019/009;25.01.2019;518;11.08.2020;Menşe Adı;Tereyağı dâhil katı ve sıvı yağlar;Balıkesir;Burhaniye Ticaret Odası;Tescilli
Burmalı Amasya Çöreği;C2021/000396;4.10.2021;1136;7.06.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya;Amasya Ticaret ve Sanayi Odası;Tescilli
Bursa Bıçağı;C2015/004;26.12.2014;326;15.02.2018;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Bursa;Bursa Büyükşehir Belediyesi;Tescilli
Bursa Cantık;C2019/174;11.11.2019;940;1.11.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa;Bursa Ticaret ve Sanayi Odası;Tescilli
Bursa Cevizli Lokum;C2019/176;11.11.2019;942;1.11.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa;Bursa Ticaret ve Sanayi Odası;Tescilli
Bursa Döner Kebabı;C2020/237;20.08.2020;1151;17.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Bursa;Bursa Ticaret ve Sanayi Odası;Tescilli
Bursa Havlusu;C2020/250;4.09.2020;1519;9.01.2024;Mahreç İşareti;Dokumalar;Bursa;Bursa Ticaret Borsası;Tescilli
Bursa Kestane Şekeri;C2019/037;25.03.2019;652;20.01.2021;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Bursa;Bursa Ticaret ve Sanayi Odası;Tescilli
Bursa Kestanesi;C2022/000186;14.06.2022;1514;25.12.2023;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa;Bursa Büyükşehir Belediyesi, T.C. Bursa İli Hayvancılığı Geliştirme Birliği;Tescilli
Bursa Pideli Köfte;C2020/212;30.07.2020;930;25.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Bursa;Bursa Ticaret Borsası;Tescilli
Bursa Santa Maria Armudu;C2021/000492;24.11.2021;1290;16.12.2022;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa;Gürsu Ziraat Odası;Tescilli
Bursa Siyah İnciri / Bursa Siyahı / Siyah Bursa İnciri;C2018/099;12.04.2018;391;14.11.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa;S.S. Bursa Bölgesi Tarım Kooperatifleri Birliği;Tescilli
Bursa Süt Helvası;C2020/236;20.08.2020;912;4.10.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa;Bursa Ticaret ve Sanayi Odası;Tescilli
Bursa Tahinli Pide;C2019/175;11.11.2019;941;1.11.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa;Bursa Ticaret ve Sanayi Odası;Tescilli
Bursa Üzüm Şırası;C2020/472;31.12.2020;838;9.08.2021;Mahreç İşareti;Alkolsüz içecekler;Bursa;Bursa Ticaret ve Sanayi Odası;Tescilli
Bursa İpeği / Bursa İpek İpliği;C2015/032;12.08.2015;425;29.03.2019;Mahreç İşareti;Diğer ürünler;Bursa;Bursa Büyükşehir Belediyesi;Tescilli
Bursa Şeftalisi;C2018/137;25.06.2018;430;3.05.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa;S.S. Bursa Bölgesi Tarım Kooperatifleri Birliği;Tescilli
Bünyan El Halısı;C1996/009;21.06.1996;5;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Kayseri;Bünyan Belediyesi;Tescilli
Bünyan Gilaburusu;C2017/011;16.02.2017;389;22.10.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kayseri;Bünyan Belediyesi;Tescilli
Büyükbelen Tekir Zeytini;C2021/000437;21.10.2021;1611;8.07.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa;Manisa Ticaret Borsası;Tescilli
Cemele Biberi;C2021/000193;16.04.2021;956;24.11.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kırşehir;Sınırlı Sorumlu Cemele Biberi Üretim ve Pazarlama Kooperatifi;Tescilli
Cengerli Kilimi;C2024/000257;17.09.2024;1748;24.06.2025;Mahreç İşareti;Halılar ve kilimler;Erzincan;Erzincan Belediyesi;Tescilli
Cennet Çamuru / Kilis Kaymaklı Kırma Künefe;C2017/187;10.11.2017;393;14.11.2018;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kilis;Kilis Valiliği;Tescilli
Ceyhan Zeytinyağı;C2021/000286;16.07.2021;1291;19.12.2022;Mahreç İşareti;Tereyağı dâhil katı ve sıvı yağlar;Adana;Ceyhan Belediyesi;Tescilli
Champagne;C2011/053;16.09.2011;212;30.03.2017;Menşe Adı;Biralar ve diğer alkollü içkiler;Yurtdışı;Comıte Interprofessionnel Du Vin De Champagne;Tescilli
Cide Ceviz Helvası;C2018/182;17.09.2018;546;27.09.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu;Cide Belediyesi;Tescilli
Cide Tarhanası;C2022/000198;24.06.2022;1380;7.06.2023;Mahreç İşareti;Yemekler ve çorbalar;Kastamonu;Cide Belediyesi;Tescilli
Cihanbeyli Gömeç Ekmeği;C2022/000022;20.01.2022;1241;17.10.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Cihanbeyli Kaymakamlığı;Tescilli
Cimil Çorabı;C2022/000097;8.03.2022;1331;30.01.2023;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Rize;İkizdere Kaymakamlığı;Tescilli
Cimin Üzümü;C2000/010;23.11.2000;37;25.06.2002;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzincan;Üzümlü Belediyesi;Tescilli
Cizre Bırınczer;C2023/000040;30.01.2023;1509;22.12.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şırnak;Cizre Kaymakamlığı;Tescilli
Cizre Leyminete / Limonata;C2024/000317;12.11.2024;1742;20.05.2025;Mahreç İşareti;Alkolsüz içecekler;Şırnak;Cizre Kaymakamlığı;Tescilli
Cizre Luzine Tatlısı;C2021/000075;24.02.2021;939;27.10.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şırnak;Cizre Kaymakamlığı;Tescilli
Cizre Memilheva Kurabiyesi;C2019/207;12.12.2019;661;3.02.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şırnak;Cizre Kaymakamlığı;Tescilli
Cizre Meyre / Cizre Mehir;C2022/000389;10.11.2022;1465;8.09.2023;Mahreç İşareti;Yemekler ve çorbalar;Şırnak;Cizre Kaymakamlığı;Tescilli
Cognac;C2019/019;14.02.2019;705;26.03.2021;Menşe Adı;Biralar ve diğer alkollü içkiler;Yurtdışı;Bureau National Interprofessionnel du Cognac (BNIC);Tescilli
Daday Etli Ekmeği;C2017/185;9.11.2017;378;15.08.2018;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu;Daday Belediyesi;Tescilli
Dalama Tandırı;C2012/011;9.01.2012;225;1.11.2017;Mahreç İşareti;Yemekler ve çorbalar;Aydın;Efeler Belediyesi;Tescilli
Damal Bebeği;C2002/009;6.05.2002;48;8.04.2003;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Ardahan;Damal Köylere Hizmet Götürme Birliği;Tescilli
Darboğaz Kirazı;C2019/094;30.07.2019;550;28.09.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Niğde;ULUKIŞLA KİRAZ ÜRETİCİLERİ BİRLİĞİ;Tescilli
Datça Domatesi;C2023/000153;3.05.2023;1571;17.04.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla;Datça Belediyesi;Tescilli
Datça Nurlu Bademi;C2021/000337;7.09.2021;1504;24.11.2023;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla;Muğla Ticaret ve Sanayi Odası;Tescilli
Dazkırı Halısı;C2019/141;2.10.2019;629;16.12.2020;Mahreç İşareti;Halılar ve kilimler;Afyonkarahisar;Dazkırı Belediyesi;Tescilli
Dedebağ Keşkeği / Karacasu Keşkeği;C2019/140;1.10.2019;686;9.03.2021;Mahreç İşareti;Yemekler ve çorbalar;Aydın;Nazilli Ticaret Odası;Tescilli
Delice Doğal Kaynak Tuzu;C2018/206;15.11.2018;1024;9.02.2022;Menşe Adı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kırıkkale;Kırıkkale Ticaret ve Sanayi Odası;Tescilli
Demirci Figani Efendi Eriği;C2022/000021;19.01.2022;1598;10.06.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa;Demirci Belediyesi;Tescilli
Demirci Hünnabı;C2017/016;21.03.2017;508;22.07.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa;Demirci Ziraat Odası;Tescilli
Demirci Kirazı;C2021/000266;4.07.2021;1564;27.03.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa;Demirci Ziraat Odası;Tescilli
Denizli Kekiği;C2020/028;27.01.2020;714;7.04.2021;Menşe Adı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Denizli;Pamukkale Belediyesi;Tescilli
Denizli Leblebisi;C2008/014;20.02.2008;134;25.05.2010;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli;Denizli Ticaret Borsası;Tescilli
Denizli Tandır Kebabı;C2019/093;25.07.2019;G3;8.10.2020;Geleneksel Ürün Adı;Yemekler ve çorbalar;;Denizli Ticaret Borsası;Tescilli
Denizli Traverteni;C2008/008;9.01.2008;151;29.11.2011;Menşe Adı;Diğer ürünler;Denizli;Denizli Ticaret Odası;Tescilli
Denizli Çalkarası Üzümü/Denizli Çalkarası;C2018/090;3.04.2018;616;7.12.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli;Çal Ziraat Odası;Tescilli
Derbent Fasulyesi;C2020/078;12.03.2020;959;30.11.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya;S.S. Cumhuriyet Mahallesi ve Yukarı Mahalle Tarımsal Kalkınma Kooperatifi;Tescilli
Derebucak Gembos Şeker Fasulyesi;C2021/000509;8.12.2021;1649;10.10.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya;SINIRLI SORUMLU GÖYNEM TARIMSAL KALKINMA KOOPERATİFİ;Tescilli
Derepazarı Pidesi;C2017/033;26.04.2017;324;30.01.2018;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Rize;Derepazarı Belediyesi;Tescilli
Derik Halhalı Zeytinyağı;C2019/193;19.11.2019;1249;31.10.2022;Menşe Adı;Tereyağı dâhil katı ve sıvı yağlar;Mardin;Kızıltepe Ticaret Borsası;Tescilli
Derinkuyu Kuru Fasulyesi;C2021/015;14.01.2021;952;22.11.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Nevşehir;Derinkuyu Kaymakamlığı;Tescilli
Deva-i Misk Helvası;C2018/247;31.12.2018;643;6.01.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Edirne;Edirne Ticaret Borsası;Tescilli
Develi Cıvıklısı;C2004/011;17.09.2004;110;26.03.2009;Mahreç İşareti;Yemekler ve çorbalar;Kayseri;Develi Belediyesi;Tescilli
Develi Gaceri;C2021/030;26.01.2021;1155;22.06.2022;Mahreç İşareti;Diğer ürünler;Kayseri;Develi Belediyesi, Kayseri Üniversitesi;Tescilli
Devrek Bastonu;C2003/020;10.07.2003;71;2.08.2005;Menşe Adı;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Zonguldak;Devrek Bastonculuğunu Yaşatma ve Geliştirme Derneği;Tescilli
Devrek Beyaz Baklavası / Devrek Baklavası;C2017/189;9.11.2017;515;30.07.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Zonguldak;Devrek Gökçebey Kültür ve Yardımlaşma Derneği;Tescilli
Devrek Kireni;C2019/109;28.08.2019;1299;21.12.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Zonguldak;Devrek Ticaret ve Sanayi Odası;Tescilli
Devrek Kömeci/Devrek Cevizli Kömeci;C2017/188;9.11.2017;516;30.07.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Zonguldak;Devrek Gökçebey Kültür ve Yardımlaşma Derneği;Tescilli
Devrekani Cırık Tatlısı;C2017/182;6.11.2017;563;9.10.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu;Devrekani Belediyesi;Tescilli
Devrekani Hindi Banduması;C2017/158;10.10.2017;440;26.06.2019;Mahreç İşareti;Yemekler ve çorbalar;Kastamonu;Devrekani Belediyesi;Tescilli
Değirmendere Fındığı;C2022/000262;18.08.2022;1704;21.02.2025;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kocaeli;Gölcük İlçe Tarım ve Orman Müdürlüğü;Tescilli
Dikmen Çiçek Balı / Dikmen Kekik Balı;C2019/067;7.06.2019;635;21.12.2020;Menşe Adı;Bal;Aydın;S. S. Yeniköy-Dikmen Balkoop Tarımsal Kalkınma Kooperatifi;Tescilli
Dinar Taptama Köfte / Dinar Taplama Köfte;C2021/000167;7.04.2021;1132;6.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Dinar Belediyesi;Tescilli
Dirmil Sipsisi;C2019/142;3.10.2019;585;30.10.2020;Mahreç İşareti;Diğer ürünler;Burdur;Altınyayla Kaymakamlığı;Tescilli
Divriği Pilavı /Alatlı Pilavı;C2018/042;9.02.2018;564;9.10.2020;Mahreç İşareti;Yemekler ve çorbalar;Sivas;Divriği Kaymakamlığı;Tescilli
Diyarbakır Armut Tatlısı;C2020/349;28.10.2020;919;11.10.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Ayva Dizmesi;C2023/000243;25.09.2023;1554;6.03.2024;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Büyükşehir Belediyesi;Tescilli
Diyarbakır Ayvalı Kavurma;C2020/221;17.08.2020;1139;7.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Ayvalı Köfte;C2020/375;11.11.2020;1010;24.01.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Babaganuç;C2020/376;11.11.2020;968;9.12.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Badem Ezmesi / Diyarbakır Lebzüniyesi;C2020/350;28.10.2020;920;11.10.2021;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Bakla Meftunesi;C2023/000242;25.09.2023;1553;6.03.2024;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Büyükşehir Belediyesi;Tescilli
Diyarbakır Boğazkere Üzümü;C2018/048;12.02.2018;687;10.03.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Burma Kadayıfı;C2014/007;29.11.2013;220;30.10.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Cimili Tatlısı;C2020/222;17.08.2020;1160;28.06.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Ciğer Kebabı;C2020/194;14.07.2020;1130;31.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Dalak Dolması;C2020/351;28.10.2020;921;11.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Duvaklı Pilavı;C2020/223;17.08.2020;1140;7.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Ekşili Balık (Sumaklı Çay Balığı);C2023/000247;25.09.2023;1716;17.03.2025;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Büyükşehir Belediyesi;Tescilli
Diyarbakır Ekşili Dolması;C2020/380;11.11.2020;1009;24.01.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Erikli Yaz Türlüsü;C2020/352;28.10.2020;922;11.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Et Eşkenesi Yemeği;C2020/381;11.11.2020;993;11.01.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Gebol Yemeği;C2020/224;17.08.2020;1145;7.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Gendüme Aşı;C2020/225;17.08.2020;1103;11.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Habenisk Çorbası;C2020/226;17.08.2020;1104;11.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Hasır Bileziği;C2021/000153;31.03.2021;1386;13.06.2023;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Hedik Yemeği;C2020/227;17.08.2020;1105;11.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Hıllorik Aşı;C2023/000244;25.09.2023;1555;6.03.2024;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Büyükşehir Belediyesi;Tescilli
Diyarbakır Hırçikli Meftunesi;C2020/384;11.11.2020;998;20.01.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kabak Meftunesi;C2020/192;14.07.2020;855;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kaburga Dolması;C2020/385;11.11.2020;974;20.12.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Karpuzu;C2007/017;3.12.2007;111;6.04.2009;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kağırdaklı Ekmek / Diyarbakır Kizirikli Ekmek;C2023/000229;8.09.2023;1552;6.03.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır;Diyarbakır Büyükşehir Belediyesi;Tescilli
Diyarbakır Kemikli Kebabı;C2020/386;11.11.2020;1156;28.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kenger Boranisi;C2020/229;17.08.2020;857;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kenger Meftunesi;C2020/193;14.07.2020;1389;19.06.2023;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kengerli Bulgur Pilavı;C2020/198;15.07.2020;1142;7.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kibe Mumbar;C2020/387;11.11.2020;1157;28.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kişnişli Kolye;C2023/000027;17.01.2023;1615;12.07.2024;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kulak Çorbası;C2020/388;11.11.2020;1141;7.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kuru Dolması;C2020/230;17.08.2020;858;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Kürt Mustafa Çorbası;C2020/389;11.11.2020;1159;28.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Lebenisi;C2020/231;17.08.2020;916;11.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Lepik Köftesi;C2023/000228;8.09.2023;1551;6.03.2024;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Büyükşehir Belediyesi;Tescilli
Diyarbakır Mastava Aşı Yemeği;C2020/232;17.08.2020;917;11.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Meyir Çorbası;C2020/234;17.08.2020;918;11.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Nardan Aşı;C2020/362;28.10.2020;1044;10.03.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Patlıcan Meftunesi;C2020/391;11.11.2020;1144;7.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Patlıcanlı Kazan Kebabı;C2020/392;11.11.2020;1143;7.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Paşa Lavaşı;C2023/000213;23.08.2023;1535;6.02.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Pencegoşt Pilavı;C2020/364;28.10.2020;1106;11.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Perdeli Ciğer Kebabı;C2020/195;14.07.2020;1158;28.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Simindirik Çorbası;C2020/393;11.11.2020;864;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Tavuk Eşkenesi;C2020/395;11.11.2020;866;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Tirit Yemeği;C2020/396;11.11.2020;867;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Çakıl Ekmeği;C2024/000032;30.01.2024;1667;27.11.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Örgü Peyniri;C2010/007;15.02.2010;170;22.02.2013;Mahreç İşareti;Peynirler;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Üsküre Kebabı / Diyarbakır Tas Kebabı;C2020/397;11.11.2020;868;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır İncaz Hoşafı;C2020/353;28.10.2020;923;11.10.2021;Mahreç İşareti;Diğer ürünler;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır İçli Köftesi;C2020/228;17.08.2020;856;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Şehriyesi;C2020/394;11.11.2020;865;20.08.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Diyarbakır Şırdanlı Bastırma;C2020/390;11.11.2020;1235;4.10.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Douro;C2020/144;26.06.2020;1016;31.01.2022;Menşe Adı;Biralar ve diğer alkollü içkiler;Yurtdışı;Instituto dos Vinhos do Douro e do Porto I. P.;Tescilli
Doğubayazıt Abdigör Köftesi;C2017/104;10.08.2017;310;25.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Ağrı;Doğubayazıt Ticaret ve Sanayi Odası;Tescilli
Doğubayazıt Aşure Tatlısı;C2023/000240;21.09.2023;1699;13.02.2025;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ağrı;Doğubayazıt Ticaret ve Sanayi Odası;Tescilli
Durağan Mahraması;C2018/223;3.12.2018;818;3.08.2021;Mahreç İşareti;Dokumalar;Sinop;Durağan Belediyesi;Tescilli
Durağan Çemberi;C2018/222;3.12.2018;817;3.08.2021;Mahreç İşareti;Dokumalar;Sinop;Durağan Belediyesi;Tescilli
